width: 550, height: 550
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
2, -45, 3
3, -45, 5
4, -45, 6
6, -45, 8
7, -45, 10
7, -44, 10
9, -44, 12
11, -44, 15
10, -44, 14
8, -46, 11
10, -45, 13
10, -45, 13
10, -45, 13
10, -44, 14
11, -44, 15
10, -45, 13
10, -44, 14
11, -44, 15
10, -44, 14
10, -44, 14
11, -44, 15
11, -43, 15
10, -44, 14
11, -43, 15
11, -45, 15
12, -45, 16
11, -43, 15
11, -44, 15
12, -44, 16
11, -44, 15
11, -43, 15
12, -45, 16
12, -45, 16
12, -45, 16
12, -45, 16
12, -45, 16
-3, -45, -2
-17, -42, -20
-29, -34, -39
-38, -23, -57
-38, -23, -57
-38, -23, -57
-38, -23, -57
-38, -24, -56
-38, -23, -57
-38, -23, -57
-38, -24, -56
-38, -24, -56
-38, -24, -56
-38, -24, -56
-38, -24, -56
-38, -24, -56
-38, -24, -56
-39, -24, -57
-38, -24, -56
-38, -24, -56
-39, -24, -57
-39, -23, -58
-38, -23, -57
-39, -24, -57
-39, -23, -58
-39, -23, -58
-39, -23, -58
-32, -30, -45
-24, -38, -31
-15, -42, -18
-4, -45, -3
5, -45, 7
7, -44, 10
11, -43, 15
9, -44, 12
7, -43, 10
6, -45, 8
5, -45, 7
6, -45, 8
6, -45, 8
6, -44, 9
6, -45, 8
9, -45, 12
11, -44, 15
9, -45, 12
6, -45, 8
6, -44, 9
5, -44, 7
5, -45, 7
7, -44, 10
5, -43, 7
5, -44, 7
5, -44, 7
8, -45, 11
12, -44, 16
7, -44, 10
5, -46, 7
6, -45, 8
5, -45, 7
5, -45, 7
6, -45, 8
6, -45, 8
6, -45, 8
8, -44, 11
11, -44, 15
7, -44, 10
6, -45, 8
6, -46, 8
-23, -38, -29
-42, -18, -65
-42, -18, -65
-42, -18, -65
-42, -18, -65
-42, -18, -65
-42, -18, -65
-42, -18, -65
-42, -18, -65
-42, -17, -66
-40, -18, -64
-42, -17, -66
-42, -16, -67
-41, -18, -65
-41, -16, -67
-41, -17, -66
-36, -26, -52
-29, -35, -38
-19, -40, -24
-9, -45, -10
3, -45, 5
3, -45, 5
3, -45, 5
2, -45, 3
2, -45, 3
2, -45, 3
3, -45, 5
2, -45, 3
1, -45, 2
1, -45, 2
1, -45, 2
1, -45, 2
1, -45, 2
1, -45, 2
1, -45, 2
1, -45, 2
1, -45, 2
1, -45, 2
1, -45, 2
2, -45, 3
1, -46, 2
0, -45, 1
0, -46, 1
0, -46, 1
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
-1, -45, 0
