width: 550, height: 550
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-96, 26, 13
-100, 4, 26
-99, -19, 39
-91, -44, 54
-77, -64, 68
-58, -82, 83
-35, -95, 98
-56, -83, 84
-75, -68, 70
-89, -48, 56
-97, -26, 43
-99, 16, 19
-84, 56, -5
-53, 85, -29
-67, 76, -20
-78, 62, -10
-89, 48, 0
-97, 27, 12
-100, 4, 26
-99, -18, 38
-93, -37, 50
-83, -55, 61
-72, -70, 72
-56, -83, 84
-90, -46, 55
-101, 2, 27
-87, 50, -1
-53, 85, -29
-56, 83, -27
-59, 82, -25
-61, 80, -24
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 77, -21
-64, 78, -22
-64, 77, -21
-64, 77, -21
-64, 78, -22
-64, 77, -21
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 78, -22
-64, 77, -21
-64, 78, -22
-64, 78, -22
-63, 77, -22
-64, 78, -22
-64, 78, -22
-64, 77, -21
-89, 48, 0
-99, -19, 39
-78, -65, 68
-35, -94, 97
-75, -68, 70
-97, -26, 43
-94, 37, 6
-53, 85, -29
-53, 85, -29
-91, 40, 4
-99, -18, 38
-35, -95, 98
-97, -26, 43
-53, 86, -30
-46, -90, 91
-101, -4, 30
-53, 86, -30
-91, 41, 4
-99, -19, 39
-35, -94, 97
-97, -26, 43
-53, 85, -29
-35, -94, 97
-75, -67, 70
-97, -26, 43
-94, 37, 6
-53, 86, -30
-98, -19, 39
-35, -94, 97
-97, -26, 43
-94, 37, 6
-53, 85, -29
-89, 48, 0
-100, 16, 19
-99, -18, 38
-35, -94, 97
-75, -67, 70
-97, -25, 42
-94, 36, 7
-54, 86, -29
-67, 76, -20
-78, 62, -10
-89, 49, 0
-98, -19, 39
-77, -65, 68
-34, -95, 98
-97, -26, 43
-94, 37, 6
-53, 85, -29
-48, 89, -33
-43, 92, -36
-43, 91, -36
-44, 91, -35
-44, 91, -35
-45, 90, -35
-45, 90, -35
-46, 89, -34
-47, 89, -33
-47, 89, -33
-48, 89, -33
-49, 88, -32
-49, 87, -32
-50, 87, -31
-51, 87, -31
-51, 86, -30
-53, 85, -29
-53, 85, -29
-64, 77, -21
-74, 69, -14
-82, 58, -6
-89, 47, 0
-95, 34, 8
-98, 21, 16
-100, 9, 23
-101, -5, 31
-99, -18, 38
-96, -31, 46
-91, -44, 54
-84, -55, 61
-76, -66, 69
-67, -75, 76
-57, -84, 84
-44, -90, 92
-32, -96, 99
-79, -61, 66
-100, -8, 32
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
-89, 48, 0
