width: 550, height: 550
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-110, 67, 0
-109, 35, 13
-90, 32, 11
-125, 42, 12
-83, 33, 9
-68, 47, -3
-92, 22, 18
-140, 9, 27
-56, 51, -10
-105, 26, 17
-60, 52, -9
-57, 42, -4
-79, 43, 2
-67, 42, 0
-68, 38, 2
-72, 64, -10
-74, 80, -15
-95, 2, 29
-86, 35, 9
-65, 22, 12
-86, 26, 14
-56, 49, -9
-62, 43, -3
-71, 8, 24
-92, 16, 21
-30, 40, -21
-23, 64, -38
-25, 67, -37
-13, 27, -32
-15, 22, -24
-8, 15, -28
-4, 21, -47
0, 27, -57
0, 27, -57
0, 27, -57
0, 27, -57
0, 27, -57
0, 27, -57
0, 27, -57
0, 27, -57
0, 27, -57
0, 27, -57
0, 27, -57
0, 27, -57
-3, 44, -53
-11, 48, -45
-9, 48, -46
-12, 49, -44
-15, 49, -40
-19, 50, -37
-28, 51, -29
-31, 53, -27
-30, 57, -30
-38, 58, -25
-41, 55, -21
-44, 57, -20
-44, 34, -6
-49, 54, -16
-49, 36, -5
-60, 22, 10
-61, 25, 8
-60, 47, -6
-63, 22, 12
-78, 60, -6
-62, 44, -3
-52, 43, -7
-31, 18, 1
-74, 17, 18
-55, 35, 0
-58, 48, -8
-46, 26, 1
-39, 23, 0
-36, 34, -11
-29, 69, -35
-19, 17, -9
-75, 23, 14
-16, 4, 17
-22, 5, 18
-7, 33, -45
-6, 40, -49
-22, 50, -34
-18, 44, -35
-7, 14, -31
0, 68, -59
14, 41, -77
2, 3, -90
2, 54, -60
-20, 56, -38
-17, 22, -19
-24, 29, -18
-35, 43, -19
-15, 14, -13
-23, 75, -41
-28, 41, -24
-31, 18, 0
-40, 64, -26
-39, 46, -17
-24, 83, -42
-7, 20, -39
-34, 54, -26
-48, 68, -23
-29, 42, -24
-44, 26, 1
-45, 32, -4
-44, 13, 13
-45, 75, -27
-39, 63, -26
-40, 52, -20
-25, 22, -9
-33, 63, -30
-31, 41, -21
-34, 22, -2
-32, 21, -2
-32, 18, 1
-40, 30, -5
-54, 25, 6
-61, 36, 1
-84, 34, 9
-95, 38, 9
-96, 5, 28
-91, -2, 32
-101, 18, 21
-99, 22, 18
-89, 36, 9
-90, 22, 17
-88, 25, 15
-76, 25, 12
-83, 20, 17
-91, 11, 24
-87, 14, 22
-89, 17, 20
-93, 40, 7
-89, 67, -5
-89, 89, -13
-90, 32, 11
-91, 42, 6
-100, 39, 9
-140, 11, 26
-150, 1, 30
-117, 23, 20
-116, 35, 14
-113, 29, 16
-135, 0, 31
-169, -15, 36
-173, -20, 38
-153, -12, 36
-143, -10, 35
-159, -3, 32
-133, 20, 22
-136, 6, 28
-136, 6, 28
-136, 6, 28
-136, 6, 28
-136, 6, 28
-136, 6, 28
-136, 6, 28
-136, 6, 28
