width: 550, height: 550
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
5, -49, -1
2, -49, -4
0, -49, -6
-1, -49, -8
-3, -49, -10
-5, -48, -12
-5, -48, -12
-8, -49, -16
-7, -49, -15
-6, -49, -13
-6, -49, -13
-5, -48, -12
-5, -48, -12
-4, -49, -11
-3, -49, -10
-3, -48, -10
-3, -49, -10
-2, -49, -9
-2, -49, -9
-1, -49, -8
-1, -50, -8
0, -50, -6
0, -49, -6
0, -49, -6
1, -49, -5
1, -49, -5
1, -49, -5
1, -50, -5
0, -49, -6
1, -48, -5
1, -48, -5
2, -49, -4
2, -49, -4
2, -49, -4
2, -49, -4
2, -49, -4
15, -46, 11
27, -41, 26
37, -32, 42
45, -20, 59
45, -20, 59
45, -20, 59
45, -20, 59
44, -21, 57
45, -21, 58
45, -20, 59
44, -21, 57
45, -21, 58
45, -19, 60
45, -20, 59
45, -20, 59
45, -19, 60
45, -20, 59
44, -20, 58
44, -19, 59
44, -19, 59
44, -20, 58
45, -21, 58
45, -20, 59
44, -20, 58
44, -20, 58
44, -20, 58
30, -39, 30
23, -43, 21
20, -45, 16
14, -47, 9
8, -48, 2
1, -49, -5
1, -48, -5
1, -49, -5
2, -49, -4
0, -48, -6
2, -49, -4
0, -49, -6
-2, -49, -9
-4, -49, -11
-2, -49, -9
1, -49, -5
1, -49, -5
4, -50, -2
4, -49, -2
1, -50, -5
2, -49, -4
0, -49, -6
-3, -49, -10
-5, -48, -12
-2, -49, -9
1, -49, -5
2, -49, -4
3, -51, -3
3, -49, -3
2, -48, -4
1, -48, -5
2, -50, -4
0, -48, -6
-3, -48, -10
-4, -48, -11
-2, -49, -9
2, -50, -4
3, -48, -3
3, -48, -3
3, -48, -3
1, -49, -5
2, -49, -4
27, -40, 27
45, -20, 59
45, -20, 59
45, -20, 59
45, -20, 59
45, -20, 59
45, -20, 59
45, -20, 59
45, -20, 59
45, -19, 60
45, -20, 59
45, -19, 60
45, -20, 59
46, -18, 61
45, -20, 59
45, -20, 59
39, -29, 46
32, -37, 33
23, -43, 21
14, -48, 9
3, -49, -3
2, -50, -4
2, -50, -4
2, -49, -4
3, -48, -3
1, -49, -5
1, -50, -5
3, -49, -3
3, -49, -3
3, -49, -3
3, -49, -3
3, -49, -3
3, -49, -3
3, -49, -3
3, -49, -3
3, -49, -3
3, -49, -3
3, -49, -3
3, -49, -3
3, -49, -3
3, -50, -3
4, -49, -2
5, -49, -1
5, -48, -1
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
6, -49, 0
