width: 550, height: 550
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
107, 30, -9
111, 11, -19
111, -9, 330
107, -29, 319
99, -48, 308
87, -67, 297
74, -83, 286
88, -66, 297
99, -47, 309
107, -26, 321
111, -4, 332
106, 34, -7
86, 69, 13
56, 95, 34
74, 82, 22
89, 65, 10
100, 47, 0
106, 30, -9
111, 11, -19
111, -9, 330
108, -23, 322
103, -39, 314
97, -53, 306
88, -67, 297
107, -25, 321
108, 21, -14
91, 64, 9
56, 95, 34
60, 92, 31
64, 91, 29
65, 89, 28
69, 86, 26
69, 86, 26
69, 86, 26
69, 86, 26
69, 86, 26
69, 86, 26
69, 86, 26
69, 86, 26
69, 86, 26
69, 86, 26
69, 86, 26
69, 86, 26
69, 86, 26
69, 85, 25
70, 86, 25
69, 86, 26
70, 85, 25
69, 86, 26
69, 86, 26
70, 85, 25
70, 85, 25
70, 86, 25
70, 86, 25
70, 85, 25
70, 86, 25
70, 86, 25
70, 85, 25
70, 86, 25
70, 86, 25
70, 85, 25
70, 86, 25
101, 47, 0
111, -8, 330
99, -50, 308
74, -83, 286
99, -46, 309
111, -4, 332
98, 53, 3
56, 95, 34
56, 96, 34
98, 51, 2
111, -9, 330
74, -82, 286
111, -3, 333
56, 95, 34
60, -92, 277
112, 2, -24
56, 95, 34
98, 50, 1
111, -7, 331
74, -82, 286
111, -4, 332
56, 95, 34
74, -83, 286
100, -47, 309
111, -4, 332
98, 53, 3
56, 95, 34
111, -7, 331
74, -82, 286
112, -3, 333
98, 53, 3
56, 95, 34
100, 47, 0
110, 20, -14
111, -9, 330
74, -83, 286
99, -47, 309
111, -3, 333
98, 53, 3
57, 94, 33
75, 82, 22
89, 66, 11
101, 46, 0
111, -8, 330
100, -49, 308
74, -83, 286
112, -3, 333
98, 53, 3
56, 95, 34
46, 100, 40
36, 104, 45
37, 105, 45
38, 103, 44
40, 104, 43
41, 102, 42
43, 102, 41
44, 101, 41
46, 100, 40
47, 100, 39
48, 100, 39
49, 99, 38
51, 99, 37
52, 98, 36
53, 97, 36
54, 97, 35
55, 96, 35
57, 95, 33
68, 87, 26
78, 78, 19
88, 67, 12
95, 56, 5
102, 42, -2
107, 29, -10
110, 16, -16
111, 3, -23
110, -12, 328
108, -25, 321
103, -39, 314
97, -52, 306
90, -65, 298
81, -76, 291
71, -85, 284
59, -94, 276
47, -100, 270
91, -64, 299
111, -8, 330
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
100, 47, 0
